<Date>,<Close>
13.09.2020,3.47
06.09.2020,3.43
30.08.2020,3.48
23.08.2020,3.34
16.08.2020,3.30
09.08.2020,3.23
02.08.2020,3.03
26.07.2020,3.18
19.07.2020,3.31
12.07.2020,3.48
05.07.2020,3.48
28.06.2020,3.32
21.06.2020,3.25
14.06.2020,3.25
07.06.2020,3.26
31.05.2020,3.30
24.05.2020,3.02
17.05.2020,2.97
10.05.2020,2.88
03.05.2020,3.05
26.04.2020,2.97
19.04.2020,2.95
12.04.2020,3.05
05.04.2020,2.85
29.03.2020,2.93
22.03.2020,2.89
15.03.2020,3.20
08.03.2020,3.56
01.03.2020,3.35
23.02.2020,3.53
16.02.2020,3.45
09.02.2020,3.58
02.02.2020,3.54
26.01.2020,3.46
19.01.2020,3.72
12.01.2020,3.96
05.01.2020,3.92
29.12.2019,3.90
22.12.2019,4.05
15.12.2019,4.12
08.12.2019,4.09
01.12.2019,4.05
24.11.2019,3.94
17.11.2019,3.93
10.11.2019,3.91
03.11.2019,3.97
27.10.2019,3.81
20.10.2019,3.86
13.10.2019,3.83
06.10.2019,3.84
29.09.2019,3.69
22.09.2019,3.76
15.09.2019,3.74
08.09.2019,3.91
01.09.2019,3.79
25.08.2019,3.64
18.08.2019,3.61
11.08.2019,3.73
04.08.2019,3.76
28.07.2019,3.87
21.07.2019,4.10
14.07.2019,4.17
07.07.2019,4.13
30.06.2019,4.12
23.06.2019,4.17
16.06.2019,4.18
09.06.2019,4.22
02.06.2019,4.22
26.05.2019,4.34
19.05.2019,4.52
12.05.2019,4.61
05.05.2019,4.62
28.04.2019,4.72
21.04.2019,4.83
14.04.2019,4.92
07.04.2019,4.88
31.03.2019,4.80
24.03.2019,4.84
17.03.2019,4.63
10.03.2019,4.75
03.03.2019,4.73
24.02.2019,4.78
17.02.2019,4.68
10.02.2019,4.51
03.02.2019,4.55
27.01.2019,4.48
20.01.2019,4.46
13.01.2019,4.49
06.01.2019,4.41
30.12.2018,4.37
23.12.2018,4.41
16.12.2018,4.48
09.12.2018,4.68
02.12.2018,4.65
25.11.2018,4.78
18.11.2018,4.76
11.11.2018,4.80
04.11.2018,4.72
28.10.2018,4.84
21.10.2018,4.73
14.10.2018,4.82
07.10.2018,4.86
30.09.2018,4.88
23.09.2018,4.97
16.09.2018,5.04
09.09.2018,4.73
02.09.2018,4.71
