Date,Ratio,hA
1988-08-01, 5.16,5.16
1988-09-01, 6.07,5.62
1988-10-01, 7.27,6.17
1988-11-01, 7.65,6.54
1988-12-01, 8.34,6.90
1989-01-01, 8.25,7.12
1989-02-01, 7.89,7.23
1989-03-01, 7.70,7.29
1989-04-01, 8.25,7.40
1989-05-01, 7.06,7.36
1989-06-01, 6.38,7.27
1989-07-01, 6.78,7.23
1989-08-01, 8.30,7.32
1989-09-01, 7.74,7.35
1989-10-01, 6.80,7.31
1989-11-01, 5.95,7.22
1989-12-01, 5.84,7.14
1990-01-01, 5.30,7.04
1990-02-01, 6.17,6.99
1990-03-01, 7.54,7.02
1990-04-01, 6.98,7.02
1990-05-01, 6.76,7.01
1990-06-01, 7.10,7.01
1990-07-01, 7.45,7.03
1990-08-01, 7.48,7.05
1990-09-01, 6.92,7.04
1990-10-01, 6.80,7.03
1990-11-01, 6.38,7.01
1990-12-01, 6.60,7.00
1991-01-01, 6.45,6.98
1991-02-01, 6.87,6.98
1991-03-01, 6.56,6.96
1991-04-01, 6.55,6.95
1991-05-01, 5.89,6.92
1991-06-01, 6.04,6.89
1991-07-01, 6.11,6.87
1991-08-01, 6.59,6.86
1991-09-01, 6.68,6.86
1991-10-01, 6.54,6.85
1991-11-01, 6.14,6.83
1991-12-01, 6.01,6.81
1992-01-01, 6.05,6.79
1992-02-01, 6.42,6.79
1992-03-01, 6.50,6.78
1992-04-01, 6.51,6.77
1992-05-01, 6.61,6.77
1992-06-01, 7.02,6.78
1992-07-01, 6.91,6.78
1992-08-01, 7.03,6.78
1992-09-01, 6.57,6.78
1992-10-01, 6.54,6.77
1992-11-01, 6.42,6.77
1992-12-01, 6.80,6.77
1993-01-01, 6.56,6.76
1993-02-01, 6.37,6.76
1993-03-01, 6.24,6.75
1993-04-01, 5.17,6.72
1993-05-01, 4.62,6.68
1993-06-01, 4.99,6.66
1993-07-01, 4.75,6.62
1993-08-01, 5.05,6.60
1993-09-01, 4.60,6.57
1993-10-01, 4.36,6.53
1993-11-01, 4.42,6.50
1993-12-01, 4.67,6.47
1994-01-01, 5.01,6.45
1994-02-01, 4.98,6.43
1994-03-01, 4.86,6.40
1994-04-01, 5.33,6.39
1994-05-01, 5.91,6.38
1994-06-01, 6.11,6.38
1994-07-01, 6.39,6.38
1994-08-01, 6.63,6.38
1994-09-01, 6.33,6.38
1994-10-01, 7.11,6.39
1994-11-01, 7.92,6.41
1994-12-01, 8.06,6.43
